item_id,planted,rater_a_pass,rater_b_pass
SR2-01,series-by-author,0,0
SR2-02,ok,1,1
SR2-03,ok,1,1
SR2-04,ok,1,1
SR2-05,ok,1,1
SR2-06,ok,1,1
SR2-07,ok,1,1
SR2-08,ok,1,1
SR2-09,flat-on-top,0,0
SR2-10,ok,0,1
SR2-11,ok,1,1
SR2-12,ok,1,1
SR2-13,transposed-within-bay,0,0
SR2-14,wrong-bay,0,0
SR2-15,wrong-bay,0,0
SR2-16,series-by-author,0,0
SR2-17,ok,1,1
SR2-18,wrong-bay,0,0
SR2-19,ok,1,1
SR2-20,ok,1,1
SR2-21,ok,1,0
SR2-22,transposed-within-bay,0,0
SR2-23,wrong-bay,0,0
SR2-24,ok,1,1
SR2-25,ok,1,1
SR2-26,ok,1,1
SR2-27,transposed-within-bay,0,0
SR2-28,ok,1,1
SR2-29,ok,1,1
SR2-30,ok,1,1
SR2-31,ok,1,1
SR2-32,oversize-no-marker,0,0
SR2-33,transposed-within-bay,0,0
SR2-34,transposed-within-bay,0,0
SR2-35,ok,1,1
SR2-36,transposed-within-bay,0,0
SR2-37,ok,1,1
SR2-38,oversize-no-marker,0,0
SR2-39,transposed-within-bay,0,0
SR2-40,transposed-within-bay,0,0
SR2-41,series-by-author,0,0
SR2-42,ok,1,1
SR2-43,ok,1,1
SR2-44,ok,1,1
SR2-45,ok,1,1
SR2-46,ok,1,1
SR2-47,ok,1,1
SR2-48,wrong-bay,0,0
SR2-49,transposed-within-bay,0,0
SR2-50,ok,0,1
