date,section,defect_type
2026-08-31,juvenile,out-of-order within bay
2026-08-31,juvenile,series shelved by author
2026-08-31,juvenile,out-of-order within bay
2026-08-31,juvenile,out-of-order within bay
2026-08-31,nonfiction,oversize/flat exception
2026-08-31,nonfiction,oversize/flat exception
2026-09-01,adult,out-of-order within bay
2026-09-01,nonfiction,out-of-order within bay
2026-09-01,nonfiction,wrong bay
2026-09-02,adult,out-of-order within bay
2026-09-02,adult,wrong bay
2026-09-02,adult,wrong bay
2026-09-02,adult,out-of-order within bay
2026-09-02,juvenile,wrong bay
2026-09-03,juvenile,out-of-order within bay
2026-09-03,juvenile,series shelved by author
2026-09-03,juvenile,oversize/flat exception
2026-09-03,juvenile,series shelved by author
2026-09-04,adult,wrong bay
2026-09-04,juvenile,out-of-order within bay
2026-09-05,nonfiction,out-of-order within bay
2026-09-07,adult,wrong bay
2026-09-07,juvenile,series shelved by author
2026-09-07,juvenile,wrong bay
2026-09-07,nonfiction,out-of-order within bay
2026-09-07,nonfiction,wrong bay
2026-09-07,nonfiction,oversize/flat exception
2026-09-07,nonfiction,out-of-order within bay
2026-09-08,adult,wrong bay
2026-09-08,juvenile,wrong bay
2026-09-08,juvenile,out-of-order within bay
2026-09-08,juvenile,out-of-order within bay
2026-09-08,juvenile,wrong bay
2026-09-08,juvenile,wrong bay
2026-09-08,juvenile,out-of-order within bay
2026-09-09,juvenile,series shelved by author
2026-09-09,juvenile,wrong bay
2026-09-09,nonfiction,wrong bay
2026-09-10,adult,wrong bay
2026-09-10,adult,wrong bay
2026-09-10,adult,wrong bay
2026-09-10,juvenile,out-of-order within bay
2026-09-10,juvenile,wrong bay
2026-09-10,juvenile,out-of-order within bay
2026-09-10,juvenile,oversize/flat exception
2026-09-10,juvenile,series shelved by author
2026-09-10,nonfiction,out-of-order within bay
2026-09-11,adult,out-of-order within bay
2026-09-11,juvenile,wrong bay
2026-09-11,juvenile,out-of-order within bay
2026-09-11,nonfiction,wrong bay
2026-09-12,adult,out-of-order within bay
2026-09-12,juvenile,wrong bay
2026-09-12,nonfiction,wrong bay
2026-09-14,adult,out-of-order within bay
2026-09-14,juvenile,out-of-order within bay
2026-09-14,nonfiction,wrong bay
2026-09-14,nonfiction,wrong bay
2026-09-15,adult,out-of-order within bay
2026-09-15,juvenile,out-of-order within bay
2026-09-15,juvenile,out-of-order within bay
2026-09-15,nonfiction,out-of-order within bay
2026-09-16,juvenile,out-of-order within bay
2026-09-16,juvenile,out-of-order within bay
2026-09-16,nonfiction,out-of-order within bay
2026-09-16,nonfiction,oversize/flat exception
2026-09-17,adult,wrong bay
2026-09-17,juvenile,out-of-order within bay
2026-09-17,juvenile,series shelved by author
2026-09-17,nonfiction,out-of-order within bay
2026-09-18,adult,out-of-order within bay
2026-09-18,juvenile,wrong bay
2026-09-18,juvenile,series shelved by author
2026-09-18,nonfiction,out-of-order within bay
2026-09-19,adult,out-of-order within bay
2026-09-19,juvenile,out-of-order within bay
2026-09-19,juvenile,wrong bay
2026-09-19,juvenile,series shelved by author
2026-09-19,nonfiction,out-of-order within bay
2026-09-21,adult,out-of-order within bay
2026-09-21,juvenile,wrong bay
2026-09-21,nonfiction,wrong bay
2026-09-22,juvenile,out-of-order within bay
2026-09-22,juvenile,series shelved by author
2026-09-23,juvenile,oversize/flat exception
2026-09-23,juvenile,out-of-order within bay
2026-09-23,juvenile,out-of-order within bay
2026-09-23,nonfiction,out-of-order within bay
2026-09-23,nonfiction,out-of-order within bay
2026-09-23,nonfiction,out-of-order within bay
